"ano","mes","dia","hora","min","seg","lat","lon","dep","uf","n1","mag","n2","s1","s2","n3","s3"
1988,2,16,15,3,0,5.02,-51.25,100,AP,0,3.7,1,I,-,,Plataforma   (UnB)
1988,4,1,21,36,29,-3.95,-40.34,2,CE,8,4.1,1,I,6-May,,GROAIRAS     (UFRN) Sobral
1988,4,1,21,37,46,-3.95,-40.34,2,CE,0,3.9,1,I,-,,GROAIRAS     (IAG) Sobral
1988,4,5,3,0,51,-22.10,-51.34,20,SP,0,3.8,1,A,6,5,"P. PRUDENTE  (UnB, IAG)"
1988,6,5,16,50,32,0.92,-61.66,50,RR,0,3.8,1,I,-,,S.JOSE ANAUA (UnB)
1988,6,24,10,1,44,-20.66,-57.97,50,MS,0,3.9,1,I,-,,"MS           (GS, UnB, IAG)"
1988,6,26,3,24,22,-36.27,-52.73,40,-,18,4.9,2,I,-,,"URUGUAI       (GS, UnB, IAG)"
1988,6,29,13,14,27,-5.53,-35.75,15,RN,0,3.9,1,C,-,,"JOAO CAMARA  (UnB, FOLHA S.PAULO)"
1988,8,11,7,6,14,-11.62,-56.99,50,MT,0,3.7,1,I,-,,"P. GAUCHOS   (UnB, IAG)"
1988,8,11,8,6,17,-11.63,-57.95,50,MT,0,4.0,1,I,-,,"P. GAUCHOS   (UnB, IAG)"
1988,8,30,15,40,20,-6.09,-47.96,30,TO,0,3.5,1,I,5,,"ARAGUATINS   (UnB, IAG)"
1988,9,3,7,29,23,-3.10,-59.76,50,AM,0,3.8,1,I,-,,RIO JATAPU   (UnB)
1988,10,18,9,44,37,-4.81,-37.98,2,CE,4,3.7,1,I,-,,"PALHANO      (UFRN, UnB, IAG)"
1988,10,18,21,3,29,-4.81,-37.98,2,CE,4,3.9,1,I,-,,"PALHANO      (UFRN, UnB, IAG)"
1988,10,19,2,15,50,-4.81,-37.98,2,CE,4,4.2,1,I,6,,"PALHANO      (UFRN, UnB, IAG)"
1988,10,29,3,24,28,-4.81,-37.97,2,CE,4,4.1,1,I,6,,"PALHANO      (UFRN, UnB, IAG)"
1988,12,10,9,52,19,-0.73,-59.38,50,RR,0,3.8,1,I,-,,JUNDIA'      (UnB)
1989,1,7,3,1,13,-11.62,-48.11,40,TO,0,3.8,1,I,-,,"Natividade   (UnB,IAG)"
1989,1,7,11,36,39,-22.93,-51.01,2,PR,0,3.7,1,A,6,0.8,"Ibiaci       (IPT,IAG,UnB,ON) Provavel induzido."
1989,1,15,12,45,18,-4.81,-37.97,5,CE,0,3.6,1,I,-,,"Palhano      (IAG,UnB)"
1989,3,10,4,11,22,-5.46,-35.69,5,RN,8,5.0,2,I,7,,"J.Camara     (UFRN,IAG,UnB)"
1989,3,10,10,7,13,-5.46,-35.69,10,RN,0,3.9,1,I,-,,"J.Camara     (IAG,UnB)"
1989,3,10,21,26,39,-5.46,-35.69,10,RN,0,3.5,1,I,-,,J.Camara     (IAG)
1989,3,25,14,33,48,-4.81,-37.97,5,CE,0,3.5,1,I,-,,Palhano      (IAG)
1989,3,25,15,29,24,-4.81,-37.97,5,CE,0,4.1,1,I,-,,"Palhano      (UFRN,UnB,IAG)"
1989,3,26,13,25,34,-4.81,-37.97,5,CE,0,4.5,2,I,6,,"Palhano      (UFRN,UnB,IAG)"
1989,3,26,16,30,16,-4.81,-37.97,5,CE,0,3.7,1,I,-,,"Palhano      (UFRN,IAG,UnB)"
1989,3,26,18,17,48,-4.81,-37.97,5,CE,0,3.9,1,I,-,,"Palhano      (UFRN,UnB,IAG)"
1989,3,29,19,1,4,-13.61,-49.60,20,GO,0,3.6,1,I,-,,"Porangatu    (UnB,IAG,IPT)"
1989,5,6,19,55,46,-5.46,-35.69,20,RN,0,3.6,1,I,-,,"J. Camara    (IAG,UnB)"
1989,5,26,22,55,28,-4.81,-37.97,5,CE,0,4.1,1,I,6-May,,"Palhano      (IAG,UnB,UFRN)"
1989,6,6,12,25,31,-1.55,-64.75,100,AM,0,3.8,1,I,-,,Rio Cuiuni   (UnB)
1989,8,1,17,20,19,-10.18,-59.28,50,MT,0,3.6,1,I,-,,Rio Aripuana (UnB)
